"01-446 Aurora" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"Race Statistics" ,"NP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,171 ,
"01-446 Aurora" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Cumings, Christophe" ,"DEM" ,"Total" ,22 ,
"01-446 Aurora" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Galvin, Alyse S." ,"DEM" ,"Total" ,76 ,
"01-446 Aurora" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Hafner, Carol" ,"DEM" ,"Total" ,18 ,
"01-446 Aurora" ,"US REPRESENTATIVE (ADL)" ,"ADL" ,"NP" ,"Shein, Dimitri" ,"DEM" ,"Total" ,37 ,
"01-446 Aurora" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-446 Aurora" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Nelson, Thomas" ,"REP" ,"Total" ,39 ,
"01-446 Aurora" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Whittaker, Jed" ,"REP" ,"Total" ,31 ,
"01-446 Aurora" ,"US REPRESENTATIVE (R)" ,"REP" ,"NP" ,"Young, Don" ,"REP" ,"Total" ,119 ,
"01-446 Aurora" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,171 ,
"01-446 Aurora" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Begich, Mark" ,"DEM" ,"Total" ,129 ,
"01-446 Aurora" ,"GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Toien, William S." ,"LIB" ,"Total" ,26 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Registered Voters" ,"NP" ,"Total" ,2667 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Times Counted" ,"NP" ,"Total" ,199 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Colbry, Darin A." ,"REP" ,"Total" ,0 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Dunleavy, Mike J." ,"REP" ,"Total" ,99 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Gordon, Thomas A." ,"REP" ,"Total" ,5 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Heikes, Gerald L." ,"REP" ,"Total" ,0 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Hlatcu, Merica" ,"REP" ,"Total" ,2 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Sheldon, Michael D. " ,"REP" ,"Total" ,5 ,
"01-446 Aurora" ,"GOVERNOR (R)" ,"REP" ,"NP" ,"Treadwell, Mead" ,"REP" ,"Total" ,85 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 ,
"01-446 Aurora" ,"LIEUTENANT GOVERNOR (ADL)" ,"ADL" ,"NP" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,1 ,
