Precinct	"Aguayo, Dennis W. ""Denny"" - NON"	"Armstrong, Jay R. - REP"	"Beal, Brian T. - UND"	"Beck, Tim - UND"	"Begich, Nick - REP"	"Brelsford, Gregg B. - UND"	"Brown, Robert - NON"	"Bye, Chris - LIB"	"Callahan, John T. - REP"	"Carle, Arlene - NON"	"Claus, Santa - UND"	"Coghill, John B. Jr. - REP"	"Constant, Christopher S. - DEM"	"Dutchess, Lady Donna - NON"	"Florschutz, Otto H. III - REP"	"Foster, Laurel A. - NON"	"Gibbons, Thomas R. ""Tom"" - REP"	"Griffin, Karyn - UND"	"Gross, Al - NON"	"Halcro, Andrew J. - NON"	"Heintz, Ted S. - NON"	"Hibler, William D. III ""Bill"" - NON"	"Howe, John Wayne - AIP"	"Hughes, David - UND"	"Knight, Don - NON"	"Lowenfels, Jeff B. - NON"	"Lyons, Robert ""Bob"" - REP"	"McCabe, Anne M. - NON"	"Melander, Mikel E. - REP"	"Mettler, Sherry M. - UND"	"Milligan, Mike - DEM"	"Myers, J.R. - LIB"	"Notti, Emil - DEM"	"Ornelas, Robert"	"Palin, Sarah - REP"	"Pellegrini, Silvio E. - UND"	"Peltola, Mary S. - DEM"	"Revak, Joshua C. - REP"	"Sumner, Maxwell - REP"	"Sweeney, Tara M. - REP"	"Thistle, David - UND"	"Thomas, Ernest F. - DEM"	"Trotter, Richard ""Clayton"" - REP"	"Welter, Bradley D. - REP"	"Williams, Jason G. - UND"	"Woodward, Jo - REP"	"Wool, Adam L. - DEM"	"Wright, Stephen - REP"
District 1 - Absentee	2	5	3	8	407	4	1	18	1	2	193	231	46	1	1	7	1	1	313	11	0	1	16	2	2	32	2	1	0	0	11	7	88	1	794	0	143	35	1	122	1	5	1	0	0	1	295	6
District 2 - Absentee	0	8	0	10	323	7	0	30	4	0	140	121	33	0	3	3	2	0	152	7	1	0	6	0	0	21	5	0	2	2	4	7	34	0	655	2	75	28	1	94	0	6	1	0	0	0	121	9
District 3 - Absentee	3	10	0	9	624	3	0	50	3	7	209	270	23	2	1	1	4	0	174	5	3	3	9	5	0	15	5	1	1	0	4	9	16	2	1589	1	107	32	0	108	0	2	0	0	0	5	124	4
District 4 - Absentee	1	8	0	3	750	6	1	73	2	2	473	369	106	1	0	6	3	0	859	43	4	2	24	1	0	68	2	0	1	2	10	8	42	2	1125	2	569	73	1	212	0	1	1	0	0	1	685	6
District 5 - Absentee	0	8	1	1	540	3	0	27	2	2	310	235	59	2	0	1	2	1	493	18	1	1	12	5	0	26	4	2	0	0	2	2	39	3	951	0	312	67	2	215	0	4	0	0	0	0	572	5
District 6 - Absentee	2	13	1	3	613	9	1	33	7	0	212	234	62	1	1	7	14	0	388	19	1	3	20	1	2	49	7	1	1	0	7	5	72	1	1585	1	268	73	2	197	0	2	1	0	5	4	124	5
District 7 - Absentee	2	8	1	0	985	8	1	24	4	0	106	62	90	2	2	5	0	1	310	53	3	0	9	5	0	129	8	5	0	0	16	6	19	5	1729	1	134	59	7	155	2	4	0	1	1	0	5	18
District 8 - Absentee	3	16	0	4	1040	2	1	38	5	2	123	93	88	3	5	3	4	3	288	52	2	1	13	2	2	142	6	2	1	0	12	10	23	4	1975	1	173	79	10	189	0	3	2	2	0	1	14	32
District 9 - Absentee	0	23	0	3	1106	6	1	45	5	3	191	154	72	1	8	9	2	1	462	53	3	1	9	2	0	142	7	4	0	2	5	12	31	0	1893	3	256	108	14	167	0	1	5	0	7	1	38	7
District 10 - Absentee	0	19	0	1	1050	6	1	49	5	2	136	85	88	7	3	6	1	0	422	71	0	0	20	1	1	183	13	4	1	1	16	8	30	2	2221	3	287	101	23	205	2	2	2	0	1	1	20	21
District 11 - Absentee	2	5	0	6	1130	11	0	27	3	3	233	76	132	4	4	12	1	0	507	86	9	0	11	1	1	200	11	6	0	0	14	15	23	2	1657	2	295	115	10	247	0	3	1	0	0	0	21	5
District 12 - Absentee	0	9	0	4	1506	3	0	34	1	1	205	119	115	3	1	8	1	2	489	121	0	0	11	1	1	223	9	2	0	1	8	10	16	2	1873	1	256	144	6	218	1	4	9	0	1	1	16	12
