Textbox11	Textbox3	Textbox2	Textbox9	Textbox12	Textbox8																			
RCV Detailed Report	General Election	State of Alaska	8-Nov-22																					
																								
Textbox24	Textbox21	Textbox53	state	timeStamp																				
House District 31	Official results	Number of positions to elect is 1.	All Positions Filled	11/30/2022 13:47																				
																								
Textbox36	Textbox41	winnersByThreshold	usesDistricts	previousRoundsEvaluation	eliminationType	fixedPrecisionDecimals	performEliminationTransferInLastRound	skipOvervotedRankings	votesToInThresholdCalculation	useFirstRoundSuspension	skipRankingsRule													
IRV	TRUE	FALSE	TRUE	None	Single	0	TRUE	FALSE	Continuing ballots per round	FALSE	Exhausted on Two or More Ranks Skipped													
																								
Textbox35	Textbox86	choiceName2	votes	Textbox17	points	continuingVotes	points1	choiceName3	votes1	points2	nonTransferableVotes	nonTransferablePoints	surplus	Textbox14	choiceName4	Textbox2	Textbox21	Textbox44	Textbox47	sourceChoiceName	choiceName	ballotsTransferred3	transferFraction3	votes5
State of Alaska	Round 1	"Nash, Kelly"	"1,092"	21.57%	0	"5,062"	0				268	0	0											
State of Alaska	Round 1	"Dibert, Maxine L."	"2,478"	48.95%	0	"5,062"	0				268	0	0											
State of Alaska	Round 1	"LeBon, Barton S."	"1,492"	29.47%	0	"5,062"	0				268	0	0											
State of Alaska	Round 1	Blanks	259	5.12%	0	"5,062"	0				268	0	0											
State of Alaska	Round 1	Exhausted	0	0.00%	0	"5,062"	0				268	0	0											
State of Alaska	Round 1	Overvotes	9	0.18%	0	"5,062"	0				268	0	0											
State of Alaska	Round 1	Remainder Points	0	0.00%	0	"5,062"	0				268	0	0											
State of Alaska	Round 1					"5,062"	0	"Nash, Kelly"	"1,092"	0	268	0	0											
State of Alaska	Round 1					"5,062"	0	"Dibert, Maxine L."	"2,478"	0	268	0	0											
State of Alaska	Round 1					"5,062"	0	"LeBon, Barton S."	"1,492"	0	268	0	0											
State of Alaska	Round 1					"5,062"	0	Blanks	259	0	268	0	0											
State of Alaska	Round 1					"5,062"	0	Exhausted	0	0	268	0	0											
State of Alaska	Round 1					"5,062"	0	Overvotes	9	0	268	0	0											
State of Alaska	Round 1					"5,062"	0	Remainder Points	0	0	268	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Nash, Kelly"									
State of Alaska															"Dibert, Maxine L."									
State of Alaska															"LeBon, Barton S."									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Nash, Kelly."								
State of Alaska																"The tie is broken by selecting Dibert, Maxine L.."								
State of Alaska																"The tie is broken by selecting LeBon, Barton S.."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Nash, Kelly is eliminated because the candidate had the least amount of votes."							
State of Alaska																	"Dibert, Maxine L. is  because "							
State of Alaska																	"LeBon, Barton S. is  because "							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Overvotes			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
State of Alaska																		"Elimination transfer for candidate Nash, Kelly."	1092 ballots have been transferred in the following manner:	"Nash, Kelly"	"Nash, Kelly"	1092	1	"-1,092"
State of Alaska																		"Elimination transfer for candidate Nash, Kelly."	1092 ballots have been transferred in the following manner:	"Nash, Kelly"	"Dibert, Maxine L."	111	1	111
State of Alaska																		"Elimination transfer for candidate Nash, Kelly."	1092 ballots have been transferred in the following manner:	"Nash, Kelly"	"LeBon, Barton S."	582	1	582
State of Alaska																		"Elimination transfer for candidate Nash, Kelly."	1092 ballots have been transferred in the following manner:	"Nash, Kelly"	Exhausted	399	1	399
State of Alaska	Round 2	"Nash, Kelly"	0	0.00%	0	"4,663"	0				667	0	0											
State of Alaska	Round 2	"Dibert, Maxine L."	"2,589"	55.52%	0	"4,663"	0				667	0	0											
State of Alaska	Round 2	"LeBon, Barton S."	"2,074"	44.48%	0	"4,663"	0				667	0	0											
State of Alaska	Round 2	Blanks	259	5.55%	0	"4,663"	0				667	0	0											
State of Alaska	Round 2	Exhausted	399	8.56%	0	"4,663"	0				667	0	0											
State of Alaska	Round 2	Overvotes	9	0.19%	0	"4,663"	0				667	0	0											
State of Alaska	Round 2	Remainder Points	0	0.00%	0	"4,663"	0				667	0	0											
State of Alaska	Round 2					"4,663"	0	"Nash, Kelly"	0	0	667	0	0											
State of Alaska	Round 2					"4,663"	0	"Dibert, Maxine L."	"2,589"	0	667	0	0											
State of Alaska	Round 2					"4,663"	0	"LeBon, Barton S."	"2,074"	0	667	0	0											
State of Alaska	Round 2					"4,663"	0	Blanks	259	0	667	0	0											
State of Alaska	Round 2					"4,663"	0	Exhausted	399	0	667	0	0											
State of Alaska	Round 2					"4,663"	0	Overvotes	9	0	667	0	0											
State of Alaska	Round 2					"4,663"	0	Remainder Points	0	0	667	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Nash, Kelly"									
State of Alaska															"Dibert, Maxine L."									
State of Alaska															"LeBon, Barton S."									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Nash, Kelly."								
State of Alaska																"The tie is broken by selecting Dibert, Maxine L.."								
State of Alaska																"The tie is broken by selecting LeBon, Barton S.."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Nash, Kelly is  because "							
State of Alaska																	"Dibert, Maxine L. is elected because all other candidates have been eliminated."							
State of Alaska																	"LeBon, Barton S. is eliminated because the candidate was not elected in the last round."							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Nash, Kelly"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Dibert, Maxine L."			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"LeBon, Barton S."			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Exhausted			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Overvotes			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
