Textbox11	Textbox3	Textbox2	Textbox9	Textbox12	Textbox8																			
RCV Detailed Report	General Election	State of Alaska	8-Nov-22																					
																								
Textbox24	Textbox21	Textbox53	state	timeStamp																				
Senate District E	Official results	Number of positions to elect is 1.	All Positions Filled	12/7/2022 21:50																				
																								
Textbox36	Textbox41	winnersByThreshold	usesDistricts	previousRoundsEvaluation	eliminationType	fixedPrecisionDecimals	performEliminationTransferInLastRound	skipOvervotedRankings	votesToInThresholdCalculation	useFirstRoundSuspension	skipRankingsRule													
IRV	TRUE	FALSE	TRUE	None	Single	0	TRUE	FALSE	Continuing ballots per round	FALSE	Exhausted on Two or More Ranks Skipped													
																								
Textbox35	Textbox86	choiceName2	votes	Textbox17	points	continuingVotes	points1	choiceName3	votes1	points2	nonTransferableVotes	nonTransferablePoints	surplus	Textbox14	choiceName4	Textbox2	Textbox21	Textbox44	Textbox47	sourceChoiceName	choiceName	ballotsTransferred3	transferFraction3	votes5
State of Alaska	Round 1	"Holland, Roger"	"5,534"	33.13%	0	"16,705"	0				480	0	0											
State of Alaska	Round 1	"Giessel, Cathy"	"5,651"	33.83%	0	"16,705"	0				480	0	0											
State of Alaska	Round 1	"Cacy, Roselynn"	"5,520"	33.04%	0	"16,705"	0				480	0	0											
State of Alaska	Round 1	Blanks	478	2.86%	0	"16,705"	0				480	0	0											
State of Alaska	Round 1	Exhausted	0	0.00%	0	"16,705"	0				480	0	0											
State of Alaska	Round 1	Overvotes	2	0.01%	0	"16,705"	0				480	0	0											
State of Alaska	Round 1	Remainder Points	0	0.00%	0	"16,705"	0				480	0	0											
State of Alaska	Round 1					"16,705"	0	"Holland, Roger"	"5,534"	0	480	0	0											
State of Alaska	Round 1					"16,705"	0	"Giessel, Cathy"	"5,651"	0	480	0	0											
State of Alaska	Round 1					"16,705"	0	"Cacy, Roselynn"	"5,520"	0	480	0	0											
State of Alaska	Round 1					"16,705"	0	Blanks	478	0	480	0	0											
State of Alaska	Round 1					"16,705"	0	Exhausted	0	0	480	0	0											
State of Alaska	Round 1					"16,705"	0	Overvotes	2	0	480	0	0											
State of Alaska	Round 1					"16,705"	0	Remainder Points	0	0	480	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Holland, Roger"									
State of Alaska															"Giessel, Cathy"									
State of Alaska															"Cacy, Roselynn"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Holland, Roger."								
State of Alaska																"The tie is broken by selecting Giessel, Cathy."								
State of Alaska																"The tie is broken by selecting Cacy, Roselynn."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Holland, Roger is  because "							
State of Alaska																	"Giessel, Cathy is  because "							
State of Alaska																	"Cacy, Roselynn is eliminated because the candidate had the least amount of votes."							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5520 ballots have been transferred in the following manner:	"Cacy, Roselynn"	"Holland, Roger"	417	1	417
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5520 ballots have been transferred in the following manner:	"Cacy, Roselynn"	"Giessel, Cathy"	2229	1	"2,229"
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5520 ballots have been transferred in the following manner:	"Cacy, Roselynn"	"Cacy, Roselynn"	5520	1	"-5,520"
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5520 ballots have been transferred in the following manner:	"Cacy, Roselynn"	Exhausted	2873	1	"2,873"
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5520 ballots have been transferred in the following manner:	"Cacy, Roselynn"	Overvotes	1	1	1
State of Alaska	Round 2	"Holland, Roger"	"5,951"	43.03%	0	"13,831"	0				"3,354"	0	0											
State of Alaska	Round 2	"Giessel, Cathy"	"7,880"	56.97%	0	"13,831"	0				"3,354"	0	0											
State of Alaska	Round 2	"Cacy, Roselynn"	0	0.00%	0	"13,831"	0				"3,354"	0	0											
State of Alaska	Round 2	Blanks	478	3.46%	0	"13,831"	0				"3,354"	0	0											
State of Alaska	Round 2	Exhausted	"2,873"	20.77%	0	"13,831"	0				"3,354"	0	0											
State of Alaska	Round 2	Overvotes	3	0.02%	0	"13,831"	0				"3,354"	0	0											
State of Alaska	Round 2	Remainder Points	0	0.00%	0	"13,831"	0				"3,354"	0	0											
State of Alaska	Round 2					"13,831"	0	"Holland, Roger"	"5,951"	0	"3,354"	0	0											
State of Alaska	Round 2					"13,831"	0	"Giessel, Cathy"	"7,880"	0	"3,354"	0	0											
State of Alaska	Round 2					"13,831"	0	"Cacy, Roselynn"	0	0	"3,354"	0	0											
State of Alaska	Round 2					"13,831"	0	Blanks	478	0	"3,354"	0	0											
State of Alaska	Round 2					"13,831"	0	Exhausted	"2,873"	0	"3,354"	0	0											
State of Alaska	Round 2					"13,831"	0	Overvotes	3	0	"3,354"	0	0											
State of Alaska	Round 2					"13,831"	0	Remainder Points	0	0	"3,354"	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Holland, Roger"									
State of Alaska															"Giessel, Cathy"									
State of Alaska															"Cacy, Roselynn"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Holland, Roger."								
State of Alaska																"The tie is broken by selecting Giessel, Cathy."								
State of Alaska																"The tie is broken by selecting Cacy, Roselynn."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Holland, Roger is eliminated because the candidate was not elected in the last round."							
State of Alaska																	"Giessel, Cathy is elected because all other candidates have been eliminated."							
State of Alaska																	"Cacy, Roselynn is  because "							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Holland, Roger"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Giessel, Cathy"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Cacy, Roselynn"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Exhausted			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Overvotes			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
