Textbox11	Textbox3	Textbox2	Textbox9	Textbox12	Textbox8																			
RCV Detailed Report	General Election	State of Alaska	8-Nov-22																					
																								
Textbox24	Textbox21	Textbox53	state	timeStamp																				
Senate District E	Official results	Number of positions to elect is 1.	All Positions Filled	11/30/2022 13:40																				
																								
Textbox36	Textbox41	winnersByThreshold	usesDistricts	previousRoundsEvaluation	eliminationType	fixedPrecisionDecimals	performEliminationTransferInLastRound	skipOvervotedRankings	votesToInThresholdCalculation	useFirstRoundSuspension	skipRankingsRule													
IRV	TRUE	FALSE	TRUE	None	Single	0	TRUE	FALSE	Continuing ballots per round	FALSE	Exhausted on Two or More Ranks Skipped													
																								
Textbox35	Textbox86	choiceName2	votes	Textbox17	points	continuingVotes	points1	choiceName3	votes1	points2	nonTransferableVotes	nonTransferablePoints	surplus	Textbox14	choiceName4	Textbox2	Textbox21	Textbox44	Textbox47	sourceChoiceName	choiceName	ballotsTransferred3	transferFraction3	votes5
State of Alaska	Round 1	"Holland, Roger"	"5,532"	33.12%	0	"16,702"	0				735	0	0											
State of Alaska	Round 1	"Giessel, Cathy"	"5,652"	33.84%	0	"16,702"	0				735	0	0											
State of Alaska	Round 1	"Cacy, Roselynn"	"5,518"	33.04%	0	"16,702"	0				735	0	0											
State of Alaska	Round 1	Blanks	731	4.38%	0	"16,702"	0				735	0	0											
State of Alaska	Round 1	Exhausted	0	0.00%	0	"16,702"	0				735	0	0											
State of Alaska	Round 1	Overvotes	4	0.02%	0	"16,702"	0				735	0	0											
State of Alaska	Round 1	Remainder Points	0	0.00%	0	"16,702"	0				735	0	0											
State of Alaska	Round 1					"16,702"	0	"Holland, Roger"	"5,532"	0	735	0	0											
State of Alaska	Round 1					"16,702"	0	"Giessel, Cathy"	"5,652"	0	735	0	0											
State of Alaska	Round 1					"16,702"	0	"Cacy, Roselynn"	"5,518"	0	735	0	0											
State of Alaska	Round 1					"16,702"	0	Blanks	731	0	735	0	0											
State of Alaska	Round 1					"16,702"	0	Exhausted	0	0	735	0	0											
State of Alaska	Round 1					"16,702"	0	Overvotes	4	0	735	0	0											
State of Alaska	Round 1					"16,702"	0	Remainder Points	0	0	735	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Holland, Roger"									
State of Alaska															"Giessel, Cathy"									
State of Alaska															"Cacy, Roselynn"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Holland, Roger."								
State of Alaska																"The tie is broken by selecting Giessel, Cathy."								
State of Alaska																"The tie is broken by selecting Cacy, Roselynn."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Holland, Roger is  because "							
State of Alaska																	"Giessel, Cathy is  because "							
State of Alaska																	"Cacy, Roselynn is eliminated because the candidate had the least amount of votes."							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5518 ballots have been transferred in the following manner:	"Cacy, Roselynn"	"Holland, Roger"	417	1	417
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5518 ballots have been transferred in the following manner:	"Cacy, Roselynn"	"Giessel, Cathy"	2229	1	"2,229"
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5518 ballots have been transferred in the following manner:	"Cacy, Roselynn"	"Cacy, Roselynn"	5518	1	"-5,518"
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5518 ballots have been transferred in the following manner:	"Cacy, Roselynn"	Exhausted	2871	1	"2,871"
State of Alaska																		"Elimination transfer for candidate Cacy, Roselynn."	5518 ballots have been transferred in the following manner:	"Cacy, Roselynn"	Overvotes	1	1	1
State of Alaska	Round 2	"Holland, Roger"	"5,949"	43.02%	0	"13,830"	0				"3,607"	0	0											
State of Alaska	Round 2	"Giessel, Cathy"	"7,881"	56.98%	0	"13,830"	0				"3,607"	0	0											
State of Alaska	Round 2	"Cacy, Roselynn"	0	0.00%	0	"13,830"	0				"3,607"	0	0											
State of Alaska	Round 2	Blanks	731	5.29%	0	"13,830"	0				"3,607"	0	0											
State of Alaska	Round 2	Exhausted	"2,871"	20.76%	0	"13,830"	0				"3,607"	0	0											
State of Alaska	Round 2	Overvotes	5	0.04%	0	"13,830"	0				"3,607"	0	0											
State of Alaska	Round 2	Remainder Points	0	0.00%	0	"13,830"	0				"3,607"	0	0											
State of Alaska	Round 2					"13,830"	0	"Holland, Roger"	"5,949"	0	"3,607"	0	0											
State of Alaska	Round 2					"13,830"	0	"Giessel, Cathy"	"7,881"	0	"3,607"	0	0											
State of Alaska	Round 2					"13,830"	0	"Cacy, Roselynn"	0	0	"3,607"	0	0											
State of Alaska	Round 2					"13,830"	0	Blanks	731	0	"3,607"	0	0											
State of Alaska	Round 2					"13,830"	0	Exhausted	"2,871"	0	"3,607"	0	0											
State of Alaska	Round 2					"13,830"	0	Overvotes	5	0	"3,607"	0	0											
State of Alaska	Round 2					"13,830"	0	Remainder Points	0	0	"3,607"	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Holland, Roger"									
State of Alaska															"Giessel, Cathy"									
State of Alaska															"Cacy, Roselynn"									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Holland, Roger."								
State of Alaska																"The tie is broken by selecting Giessel, Cathy."								
State of Alaska																"The tie is broken by selecting Cacy, Roselynn."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Holland, Roger is eliminated because the candidate was not elected in the last round."							
State of Alaska																	"Giessel, Cathy is elected because all other candidates have been eliminated."							
State of Alaska																	"Cacy, Roselynn is  because "							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Holland, Roger"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Giessel, Cathy"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Cacy, Roselynn"			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Exhausted			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Overvotes			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
