Textbox11	Textbox3	Textbox2	Textbox9	Textbox12	Textbox8																			
RCV Detailed Report	General Election	State of Alaska	8-Nov-22																					
																								
Textbox24	Textbox21	Textbox53	state	timeStamp																				
U.S. Senator	Official results	Number of positions to elect is 1.	All Positions Filled	11/30/2022 13:36																				
																								
Textbox36	Textbox41	winnersByThreshold	usesDistricts	previousRoundsEvaluation	eliminationType	fixedPrecisionDecimals	performEliminationTransferInLastRound	skipOvervotedRankings	votesToInThresholdCalculation	useFirstRoundSuspension	skipRankingsRule													
IRV	TRUE	FALSE	TRUE	None	Single	0	TRUE	FALSE	Continuing ballots per round	FALSE	Exhausted on Two or More Ranks Skipped													
																								
Textbox35	Textbox86	choiceName2	votes	Textbox17	points	continuingVotes	points1	choiceName3	votes1	points2	nonTransferableVotes	nonTransferablePoints	surplus	Textbox14	choiceName4	Textbox2	Textbox21	Textbox44	Textbox47	sourceChoiceName	choiceName	ballotsTransferred3	transferFraction3	votes5
State of Alaska	Round 1	"Chesbro, Patricia R."	"28,233"	10.73%	0	"263,027"	0				"3,770"	0	0											
State of Alaska	Round 1	"Kelley, Buzz A."	"8,575"	3.26%	0	"263,027"	0				"3,770"	0	0											
State of Alaska	Round 1	"Murkowski, Lisa"	"114,118"	43.39%	0	"263,027"	0				"3,770"	0	0											
State of Alaska	Round 1	"Tshibaka, Kelly C."	"112,101"	42.62%	0	"263,027"	0				"3,770"	0	0											
State of Alaska	Round 1	Blanks	"3,271"	1.24%	0	"263,027"	0				"3,770"	0	0											
State of Alaska	Round 1	Exhausted	0	0.00%	0	"263,027"	0				"3,770"	0	0											
State of Alaska	Round 1	Overvotes	499	0.19%	0	"263,027"	0				"3,770"	0	0											
State of Alaska	Round 1	Remainder Points	0	0.00%	0	"263,027"	0				"3,770"	0	0											
State of Alaska	Round 1					"263,027"	0	"Chesbro, Patricia R."	"28,233"	0	"3,770"	0	0											
State of Alaska	Round 1					"263,027"	0	"Kelley, Buzz A."	"8,575"	0	"3,770"	0	0											
State of Alaska	Round 1					"263,027"	0	"Murkowski, Lisa"	"114,118"	0	"3,770"	0	0											
State of Alaska	Round 1					"263,027"	0	"Tshibaka, Kelly C."	"112,101"	0	"3,770"	0	0											
State of Alaska	Round 1					"263,027"	0	Blanks	"3,271"	0	"3,770"	0	0											
State of Alaska	Round 1					"263,027"	0	Exhausted	0	0	"3,770"	0	0											
State of Alaska	Round 1					"263,027"	0	Overvotes	499	0	"3,770"	0	0											
State of Alaska	Round 1					"263,027"	0	Remainder Points	0	0	"3,770"	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Chesbro, Patricia R."									
State of Alaska															"Kelley, Buzz A."									
State of Alaska															"Murkowski, Lisa"									
State of Alaska															"Tshibaka, Kelly C."									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Chesbro, Patricia R.."								
State of Alaska																"The tie is broken by selecting Kelley, Buzz A.."								
State of Alaska																"The tie is broken by selecting Murkowski, Lisa."								
State of Alaska																"The tie is broken by selecting Tshibaka, Kelly C.."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Chesbro, Patricia R. is  because "							
State of Alaska																	"Kelley, Buzz A. is eliminated because the candidate had the least amount of votes."							
State of Alaska																	"Murkowski, Lisa is  because "							
State of Alaska																	"Tshibaka, Kelly C. is  because "							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
State of Alaska																		"Elimination transfer for candidate Kelley, Buzz A.."	8575 ballots have been transferred in the following manner:	"Kelley, Buzz A."	"Chesbro, Patricia R."	901	1	901
State of Alaska																		"Elimination transfer for candidate Kelley, Buzz A.."	8575 ballots have been transferred in the following manner:	"Kelley, Buzz A."	"Kelley, Buzz A."	8575	1	"-8,575"
State of Alaska																		"Elimination transfer for candidate Kelley, Buzz A.."	8575 ballots have been transferred in the following manner:	"Kelley, Buzz A."	"Murkowski, Lisa"	1641	1	"1,641"
State of Alaska																		"Elimination transfer for candidate Kelley, Buzz A.."	8575 ballots have been transferred in the following manner:	"Kelley, Buzz A."	"Tshibaka, Kelly C."	3209	1	"3,209"
State of Alaska																		"Elimination transfer for candidate Kelley, Buzz A.."	8575 ballots have been transferred in the following manner:	"Kelley, Buzz A."	Exhausted	2806	1	"2,806"
State of Alaska																		"Elimination transfer for candidate Kelley, Buzz A.."	8575 ballots have been transferred in the following manner:	"Kelley, Buzz A."	Overvotes	18	1	18
State of Alaska	Round 2	"Chesbro, Patricia R."	"29,134"	11.20%	0	"260,203"	0				"6,594"	0	0											
State of Alaska	Round 2	"Kelley, Buzz A."	0	0.00%	0	"260,203"	0				"6,594"	0	0											
State of Alaska	Round 2	"Murkowski, Lisa"	"115,759"	44.49%	0	"260,203"	0				"6,594"	0	0											
State of Alaska	Round 2	"Tshibaka, Kelly C."	"115,310"	44.32%	0	"260,203"	0				"6,594"	0	0											
State of Alaska	Round 2	Blanks	"3,271"	1.26%	0	"260,203"	0				"6,594"	0	0											
State of Alaska	Round 2	Exhausted	"2,806"	1.08%	0	"260,203"	0				"6,594"	0	0											
State of Alaska	Round 2	Overvotes	517	0.20%	0	"260,203"	0				"6,594"	0	0											
State of Alaska	Round 2	Remainder Points	0	0.00%	0	"260,203"	0				"6,594"	0	0											
State of Alaska	Round 2					"260,203"	0	"Chesbro, Patricia R."	"29,134"	0	"6,594"	0	0											
State of Alaska	Round 2					"260,203"	0	"Kelley, Buzz A."	0	0	"6,594"	0	0											
State of Alaska	Round 2					"260,203"	0	"Murkowski, Lisa"	"115,759"	0	"6,594"	0	0											
State of Alaska	Round 2					"260,203"	0	"Tshibaka, Kelly C."	"115,310"	0	"6,594"	0	0											
State of Alaska	Round 2					"260,203"	0	Blanks	"3,271"	0	"6,594"	0	0											
State of Alaska	Round 2					"260,203"	0	Exhausted	"2,806"	0	"6,594"	0	0											
State of Alaska	Round 2					"260,203"	0	Overvotes	517	0	"6,594"	0	0											
State of Alaska	Round 2					"260,203"	0	Remainder Points	0	0	"6,594"	0	0											
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska														A tie occurred during 										
State of Alaska															"Chesbro, Patricia R."									
State of Alaska															"Kelley, Buzz A."									
State of Alaska															"Murkowski, Lisa"									
State of Alaska															"Tshibaka, Kelly C."									
State of Alaska															Blanks									
State of Alaska															Exhausted									
State of Alaska															Overvotes									
State of Alaska															Remainder Points									
State of Alaska																"The tie is broken by selecting Chesbro, Patricia R.."								
State of Alaska																"The tie is broken by selecting Kelley, Buzz A.."								
State of Alaska																"The tie is broken by selecting Murkowski, Lisa."								
State of Alaska																"The tie is broken by selecting Tshibaka, Kelly C.."								
State of Alaska																The tie is broken by selecting Blanks.								
State of Alaska																The tie is broken by selecting Exhausted.								
State of Alaska																The tie is broken by selecting Overvotes.								
State of Alaska																The tie is broken by selecting Remainder Points.								
State of Alaska																	"Chesbro, Patricia R. is eliminated because the candidate had the least amount of votes."							
State of Alaska																	"Kelley, Buzz A. is  because "							
State of Alaska																	"Murkowski, Lisa is  because "							
State of Alaska																	"Tshibaka, Kelly C. is  because "							
State of Alaska																	Blanks is  because 							
State of Alaska																	Exhausted is  because 							
State of Alaska																	Overvotes is  because 							
State of Alaska																	Remainder Points is  because 							
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		"Kelley, Buzz A."			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Blanks			
State of Alaska																		 transfer for candidate .	 ballots have been transferred in the following manner:		Remainder Points			
State of Alaska																		"Elimination transfer for candidate Chesbro, Patricia R.."	29134 ballots have been transferred in the following manner:	"Chesbro, Patricia R."	"Chesbro, Patricia R."	29134	1	"-29,134"
State of Alaska																		"Elimination transfer for candidate Chesbro, Patricia R.."	29134 ballots have been transferred in the following manner:	"Chesbro, Patricia R."	"Murkowski, Lisa"	20571	1	"20,571"
State of Alaska																		"Elimination transfer for candidate Chesbro, Patricia R.."	29134 ballots have been transferred in the following manner:	"Chesbro, Patricia R."	"Tshibaka, Kelly C."	2224	1	"2,224"
State of Alaska																		"Elimination transfer for candidate Chesbro, Patricia R.."	29134 ballots have been transferred in the following manner:	"Chesbro, Patricia R."	Exhausted	6301	1	"6,301"
State of Alaska																		"Elimination transfer for candidate Chesbro, Patricia R.."	29134 ballots have been transferred in the following manner:	"Chesbro, Patricia R."	Overvotes	38	1	38
State of Alaska	Round 3	"Chesbro, Patricia R."	0	0.00%	0	"253,864"	0				"12,933"	0	0											
State of Alaska	Round 3	"Kelley, Buzz A."	0	0.00%	0	"253,864"	0				"12,933"	0	0											
