"ELECTION_DATE","ELECTION_NAME","CONTEST_ID","CONTEST_NAME","PRECINCT_NUMBER","WARD","CANDIDATE","PARTY","VOTES"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","45","4","REGISTERED VOTERS - TOTAL","","2783"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","45","4","BALLOTS CAST - TOTAL","","408"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Brandon Todd","DEM","159"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Ron Austin","DEM","7"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Glova Scott","IND","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Acqunetta Anderson","DEM","6"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Douglass Sloan","DEM","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Pedro Rubio, Jr.","DEM","0"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Renee L. Bowser","DEM","113"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Leon T. Andrews, Jr.","DEM","63"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Edwin W. Powell","DEM","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Judi Jones","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Bobvala Tengen","DEM","1"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Dwayne M. Toliver","DEM","24"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","Gwenellen Corley-Bowman","DEM","20"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","WRITE-IN","NON","2"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","OVER VOTES","","4"
"4/28/2015","D.C. Special Election","103","MEMBER OF THE COUNCIL WARD FOUR","45","4","UNDER VOTES","","0"
"4/28/2015","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","46","4","REGISTERED VOTERS - TOTAL","","3532"
"4/28/2015","D.C. Special Election","102","BALLOTS CAST - TOTAL","46","4","BALLOTS CAST - TOTAL","","503"
