ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,45,4,,CITYWIDE,2983
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,45,4,,CITYWIDE,222
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,45,4,Rhonda Henderson,NON,68
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,45,4,Ryan Tauriainen,NON,13
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,45,4,Elani Lawrence,NON,16
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,45,4,"Frazier L. O'Leary, Jr.",NON,125
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,45,4,WRITE-IN,NON,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,45,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,45,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,46,4,,CITYWIDE,3658
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,46,4,,CITYWIDE,275
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,46,4,UNDER VOTES,,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,46,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,46,4,WRITE-IN,NON,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,46,4,"Frazier L. O'Leary, Jr.",NON,123
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,46,4,Elani Lawrence,NON,23
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,46,4,Ryan Tauriainen,NON,29
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,46,4,Rhonda Henderson,NON,99
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,47,4,,CITYWIDE,4631
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,47,4,,CITYWIDE,310
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,47,4,Rhonda Henderson,NON,79
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,47,4,Ryan Tauriainen,NON,13
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,47,4,Elani Lawrence,NON,42
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,47,4,"Frazier L. O'Leary, Jr.",NON,175
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,47,4,WRITE-IN,NON,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,47,4,OVER VOTES,,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,47,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,48,4,,CITYWIDE,3695
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,48,4,,CITYWIDE,287
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,48,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,48,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,48,4,WRITE-IN,NON,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,48,4,"Frazier L. O'Leary, Jr.",NON,136
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,48,4,Elani Lawrence,NON,28
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,48,4,Ryan Tauriainen,NON,14
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,48,4,Rhonda Henderson,NON,109
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,49,4,,CITYWIDE,1257
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,49,4,,CITYWIDE,75
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,49,4,Rhonda Henderson,NON,16
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,49,4,Ryan Tauriainen,NON,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,49,4,Elani Lawrence,NON,10
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,49,4,"Frazier L. O'Leary, Jr.",NON,48
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,49,4,WRITE-IN,NON,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,49,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,49,4,UNDER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,51,4,,CITYWIDE,4645
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,51,4,,CITYWIDE,602
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,51,4,UNDER VOTES,,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,51,4,OVER VOTES,,0
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,51,4,WRITE-IN,NON,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,51,4,"Frazier L. O'Leary, Jr.",NON,350
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,51,4,Elani Lawrence,NON,52
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,51,4,Ryan Tauriainen,NON,21
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,51,4,Rhonda Henderson,NON,177
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,52,4,,CITYWIDE,1680
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,52,4,,CITYWIDE,228
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,52,4,Rhonda Henderson,NON,68
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,52,4,Ryan Tauriainen,NON,16
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,52,4,Elani Lawrence,NON,38
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,52,4,"Frazier L. O'Leary, Jr.",NON,102
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,52,4,WRITE-IN,NON,2
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,52,4,OVER VOTES,,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,52,4,UNDER VOTES,,1
12/4/2018 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,53,4,,CITYWIDE,1640
12/4/2018 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,53,4,,CITYWIDE,124
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,53,4,UNDER VOTES,,1
12/4/2018 12:00:00 AM,Special Election,301,WARD FOUR MEMBER OF THE STATE BOARD OF EDUCATION,53,4,OVER VOTES,,0
