"ELECTION_DATE","ELECTION_NAME","CONTEST_ID","CONTEST_NAME","PRECINCT_NUMBER","WARD","CANDIDATE","PARTY","VOTES"
"7/15/2014","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","112","8","REGISTERED VOTERS - TOTAL","","2361"
"7/15/2014","D.C. Special Election","102","BALLOTS CAST - TOTAL","112","8","BALLOTS CAST - TOTAL","","120"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","112","8","DARRELL DANNY GASTON","NON","2"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","112","8","TIERRA JOLLY","NON","54"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","112","8","PHILIP PANNELL","NON","51"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","112","8","WRITE-IN","NON","12"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","112","8","OVER VOTES","","1"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","112","8","UNDER VOTES","","0"
"7/15/2014","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","114","8","REGISTERED VOTERS - TOTAL","","3780"
"7/15/2014","D.C. Special Election","102","BALLOTS CAST - TOTAL","114","8","BALLOTS CAST - TOTAL","","96"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","114","8","DARRELL DANNY GASTON","NON","3"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","114","8","TIERRA JOLLY","NON","35"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","114","8","PHILIP PANNELL","NON","54"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","114","8","WRITE-IN","NON","4"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","114","8","OVER VOTES","","0"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","114","8","UNDER VOTES","","0"
"7/15/2014","D.C. Special Election","101","REGISTERED VOTERS - TOTAL","115","8","REGISTERED VOTERS - TOTAL","","3549"
"7/15/2014","D.C. Special Election","102","BALLOTS CAST - TOTAL","115","8","BALLOTS CAST - TOTAL","","117"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","115","8","DARRELL DANNY GASTON","NON","12"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","115","8","TIERRA JOLLY","NON","46"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","115","8","PHILIP PANNELL","NON","27"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","115","8","WRITE-IN","NON","30"
"7/15/2014","D.C. Special Election","103","MEMBER OF THE STATE BOARD OF ED WARD EIGHT","115","8","OVER VOTES","","1"
