ElectionDate,ElectionName,ContestNumber,ContestName,PrecinctNumber,WardNumber,Candidate,Party,Votes
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,2,2,,CITYWIDE,1595
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,2,2,,CITYWIDE,79
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,2,2,DEM KISHAN PUTTA,DEM,2
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,2,2,DEM JORDAN GROSSMAN,DEM,15
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,2,2,DEM PATRICK KENNEDY,DEM,16
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,2,2,REP KATHERINE VENICE,REP,5
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,2,2,DEM BROOKE PINTO,DEM,32
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,2,2,DEM YILIN (ELLEN) ZHANG,DEM,4
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,2,2,DEM JOHN FANNING,DEM,4
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,2,2,Write-in,NPN,1
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,3,2,,CITYWIDE,2904
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,3,2,,CITYWIDE,622
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,3,2,Write-in,NPN,4
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,3,2,DEM JOHN FANNING,DEM,23
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,3,2,DEM YILIN (ELLEN) ZHANG,DEM,15
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,3,2,DEM BROOKE PINTO,DEM,227
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,3,2,REP KATHERINE VENICE,REP,60
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,3,2,DEM PATRICK KENNEDY,DEM,164
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,3,2,DEM JORDAN GROSSMAN,DEM,86
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,3,2,DEM KISHAN PUTTA,DEM,40
6/16/2020 12:00:00 AM,Special Election,-2,REGISTERED VOTERS - TOTAL,4,2,,CITYWIDE,3423
6/16/2020 12:00:00 AM,Special Election,-1,BALLOTS CAST - TOTAL,4,2,,CITYWIDE,757
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,4,2,DEM KISHAN PUTTA,DEM,55
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,4,2,DEM JORDAN GROSSMAN,DEM,115
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,4,2,DEM PATRICK KENNEDY,DEM,207
6/16/2020 12:00:00 AM,Special Election,4,WARD TWO MEMBER OF THE COUNCIL,4,2,REP KATHERINE VENICE,REP,53
